"","x"
"1",103
"2",121
"3",233
"4",276
"5",396
"6",31
"7",53
"8",147
"9",246
"10",261
"11",349
"12",364
"13",417
"14",431
"15",64
"16",116
"17",399
"18",75
"19",83
"20",145
"21",171
"22",216
"23",243
"24",247
"25",291
"26",314
"27",351
"28",435
"29",468
"30",117
"31",274
"32",321
"33",352
"34",423
"35",80
"36",130
"37",248
"38",279
"39",310
"40",14
"41",54
"42",78
"43",95
"44",134
"45",286
"46",438
"47",478
"48",12
"49",138
"50",151
"51",162
"52",193
"53",198
"54",282
"55",333
"56",408
"57",40
"58",206
"59",223
"60",329
"61",354
"62",380
"63",454
"64",122
"65",163
"66",218
"67",225
"68",281
"69",428
"70",459
"71",164
"72",190
"73",249
"74",367
"75",479
"76",169
"77",272
"78",365
"79",213
"80",358
"81",409
"82",430
"83",29
"84",58
"85",149
"86",154
"87",204
"88",205
"89",369
"90",397
"91",447
"92",33
"93",48
"94",284
"95",303
"96",347
"97",15
"98",210
"99",244
"100",295
"101",323
"102",453
"103",2
"104",27
"105",32
"106",51
"107",150
"108",203
"109",220
"110",224
"111",242
"112",293
"113",356
"114",433
"115",109
"116",128
"117",155
"118",157
"119",174
"120",215
"121",275
"122",294
"123",296
"124",390
"125",471
"126",480
"127",179
"128",209
"129",316
"130",342
"131",359
"132",467
"133",90
"134",381
"135",26
"136",89
"137",22
"138",76
"139",79
"140",88
"141",170
"142",241
"143",270
"144",287
"145",289
"146",373
"147",4
"148",52
"149",115
"150",300
"151",35
"152",104
"153",146
"154",168
"155",192
"156",262
"157",429
"158",444
"159",1
"160",47
"161",125
"162",464
"163",474
"164",202
"165",222
"166",326
"167",376
"168",469
"169",166
"170",191
"171",283
"172",302
"173",348
"174",463
"175",195
"176",267
"177",46
"178",318
"179",473
"180",49
"181",91
"182",110
"183",194
"184",324
"185",50
"186",57
"187",62
"188",142
"189",182
"190",199
"191",212
"192",234
"193",345
"194",355
"195",386
"196",434
"197",457
"198",5
"199",227
"200",278
"201",325
"202",328
"203",105
"204",200
"205",211
"206",260
"207",389
"208",21
"209",71
"210",118
"211",139
"212",442
"213",341
"214",391
"215",441
"216",28
"217",143
"218",144
"219",245
"220",17
"221",39
"222",67
"223",185
"224",339
"225",385
"226",405
"227",418
"228",436
"229",45
"230",74
"231",77
"232",98
"233",137
"234",158
"235",159
"236",175
"237",259
"238",268
"239",370
"240",419
"241",250
"242",264
"243",265
"244",475
"245",257
"246",309
"247",379
"248",18
"249",34
"250",86
"251",188
"252",196
"253",238
"254",254
"255",470
"256",3
"257",6
"258",131
"259",136
"260",288
"261",305
"262",400
"263",219
"264",236
"265",387
"266",410
"267",446
"268",30
"269",85
"270",197
"271",228
"272",401
"273",460
"274",20
"275",96
"276",97
"277",106
"278",184
"279",229
"280",382
"281",420
"282",422
"283",465
"284",135
"285",140
"286",252
"287",393
"288",415
"289",42
"290",70
"291",336
"292",384
"293",395
"294",9
"295",100
"296",126
"297",412
"298",13
"299",129
"300",235
"301",273
"302",304
"303",363
"304",378
"305",383
"306",424
"307",111
"308",240
"309",263
"310",285
"311",84
"312",214
"313",337
"314",407
"315",427
"316",72
"317",119
"318",217
"319",253
"320",256
"321",306
"322",360
"323",413
"324",440
"325",461
"326",472
"327",69
"328",101
"329",178
"330",186
"331",366
"332",59
"333",93
"334",94
"335",99
"336",237
"337",299
"338",315
"339",437
"340",452
"341",92
"342",189
"343",271
"344",331
"345",371
"346",451
"347",11
"348",24
"349",68
"350",152
"351",375
"352",392
"353",466
"354",167
"355",239
"356",335
"357",404
"358",414
"359",19
"360",43
"361",113
"362",124
"363",208
"364",258
"365",374
"366",388
"367",61
"368",102
"369",266
"370",308
"371",311
"372",394
"373",416
"374",448
"375",462
"376",25
"377",56
"378",82
"379",112
"380",123
"381",165
"382",255
"383",307
"384",338
"385",362
"386",443
"387",177
"388",201
"389",319
"390",411
"391",87
"392",114
"393",357
"394",372
"395",63
"396",65
"397",66
"398",221
"399",280
"400",426
"401",432
"402",10
"403",38
"404",60
"405",107
"406",148
"407",180
"408",269
"409",277
"410",320
"411",340
"412",456
"413",477
"414",120
"415",132
"416",181
"417",353
"418",403
"419",425
"420",108
"421",160
"422",251
"423",368
"424",455
"425",23
"426",41
"427",153
"428",301
"429",317
"430",334
"431",350
"432",16
"433",36
"434",127
"435",156
"436",176
"437",332
"438",377
"439",450
"440",476
"441",44
"442",327
"443",173
"444",207
"445",226
"446",346
"447",406
"448",133
"449",183
"450",232
"451",330
"452",421
"453",7
"454",8
"455",37
"456",161
"457",172
"458",230
"459",290
"460",313
"461",322
"462",344
"463",445
"464",73
"465",292
"466",361
"467",449
"468",55
"469",81
"470",141
"471",187
"472",231
"473",297
"474",298
"475",312
"476",343
"477",398
"478",402
"479",439
"480",458
